attraction_city,latitude,longitude,attraction_governorate,attraction_name,average_ratings,category,excellent_ratings,overall_rating,poor_ratings,terrible_ratings,total_ratings,very_good_ratings
Anjar,33.7285,35.9347,Bekaa Governorate,Umayyad Ruins of Aanjar,12,Historical Sites,89,4.5,1,0,171,69
Aannaya,34.1176,35.7556,Mount Lebanon Governorate,Monastery Saint Maron - Sanctuary of Saint Charbel,12,Religious Sites - Church,233,5,1,0,278,32
Arnoun,33.3315,35.5258,South Lebanon Governorate,Beaufort Castle,1,Historical Sites,18,4.5,1,0,32,12
Baalbeck,34.0047,36.211,Bekaa Governorate,Baalbek Roman Ruins,16,Historical Sites,1094,5,3,1,1237,123
Baalbeck,34.0047,36.211,Bekaa Governorate,Hajar al-Hibla,18,Historical Sites,61,4.5,3,0,122,40
Batroun,34.2498,35.6643,North Governorate,Phoenician Wall,9,Historical Sites,38,4.5,1,0,77,29
Batroun,34.2498,35.6643,North Governorate,St. Stephan's Cathedral,3,Religious Sites - Church,20,4.5,0,0,37,14
Hamat,34.283,35.7,North Governorate,Mussaylha Fort,4,Historical Sites,14,4.5,0,0,29,11
Bcharre,34.2507,36.0117,North Governorate,The Cedars of God,16,Nature & Wildlife Areas,151,4.5,4,0,232,61
Bcharre,34.2507,36.0117,North Governorate,Gibran Museum,18,Museums,66,4.5,0,2,124,38
Bcharre,34.2507,36.0117,North Governorate,Deir Qannoubin,1,Religious Sites - Church,17,5,0,0,21,3
Bcharre,34.2507,36.0117,North Governorate,Deir Qozhaya,0,Religious Sites - Church,37,4.5,0,1,48,10
Bcharre,34.2507,36.0117,North Governorate,Qadisha Valley,2,Nature & Wildlife Areas,114,4.5,3,0,147,28
Beirut,33.8938,35.5018,Beirut,National Museum of Beirut,70,Museums,1026,4.5,5,4,1493,388
Beirut,33.8938,35.5018,Beirut,Nicolas Sursock Museum,21,Museums,146,4.5,7,1,252,77
Beirut,33.8938,35.5018,Beirut,Zaitunay Bay,242,Points of Interest & Landmarks,1097,4.5,57,34,2133,703
